일자,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"2020/12/21","37195","45","0.12","37263.70","37205","37225","36740","14021631","519603837885","5062239500000","5142391027729","136100000","코스피 200","372.18","0.63","0.17"
"2020/12/18","37150","50","-0.13","37201.56","37290","37315","37055","7557423","281095659670","5030110000000","5063132192813","135400000","코스피 200","371.55","0.45","-0.12"
"2020/12/17","37200","35","-0.09","37246.95","37260","37270","36815","8171247","302943490880","5137320000000","5043237574390","138100000","코스피 200","372.00","0.53","-0.14"
"2020/12/16","37235","155","0.42","37299.65","37370","37465","37130","7680296","286075944400","5564770750000","5151081725376","149450000","코스피 200","372.53","1.65","0.44"
"2020/12/15","37080","0","0.00","37135.34","37100","37150","36710","13772264","508903314740","5356206000000","5549876087146","144450000","코스피 200","370.88","0.68","-0.18"
"2020/12/14","37080","145","-0.39","37203.74","37250","37430","37035","13689086","508784501960","5254236000000","5374080725754","141700000","코스피 200","371.56","0.68","-0.18"
"2020/12/11","37225","320","0.87","37271.83","37145","37400","37120","10436927","388569397530","5274782500000","5281418955445","141700000","코스피 200","372.24","2.87","0.78"
"2020/12/10","36905","295","-0.79","36985.70","36780","37240","36575","11741753","433674579625","5229438500000","5240873173964","141700000","코스피 200","369.37","2.10","-0.57"
"2020/12/09","37200","840","2.31","37198.77","36580","37200","36535","13249828","488333367905","5823660000000","5271065062377","156550000","코스피 200","371.47","8.02","2.21"
"2020/12/08","36360","590","-1.60","36395.25","36915","36935","36360","13170091","482622154695","5799420000000","5697675873518","159500000","코스피 200","363.45","6.41","-1.73"
"2020/12/07","36950","200","0.54","37038.25","37060","37115","36510","18683440","688192364180","6056105000000","5907601571455","163900000","코스피 200","369.86","2.23","0.61"
"2020/12/04","36750","645","1.79","36814.61","36245","36965","36235","11121191","408700234420","6181350000000","6033914780321","168200000","코스피 200","367.63","5.97","1.65"
"2020/12/03","36105","255","0.71","36212.13","35970","36145","35825","12162287","438098933850","6024119250000","6090879546698","166850000","코스피 200","361.66","3.00","0.84"
"2020/12/02","35850","615","1.75","35911.79","35405","35900","35360","7917365","283106573175","5902702500000","5991882087564","164650000","코스피 200","358.66","6.26","1.78"
"2020/12/01","35235","550","1.59","35285.24","34900","35335","34890","5413659","190171345045","5931812250000","5809714674544","168350000","코스피 200","352.40","6.35","1.83"
"2020/11/30","34685","535","-1.52","34648.84","35330","35470","34685","15007819","524867593650","5912058250000","5833132828103","170450000","코스피 200","346.05","6.68","-1.89"
"2020/11/27","35220","80","0.23","35317.06","35140","35270","35025","9576458","337051462510","5871174000000","6019793063743","166700000","코스피 200","352.73","0.61","0.17"
"2020/11/26","35140","345","0.99","35255.64","34780","35140","34690","8207630","287083028705","5924604000000","5877115881971","168600000","코스피 200","352.12","3.82","1.10"
"2020/11/25","34795","205","-0.59","34873.91","35225","35340","34615","11035676","386681772560","5902971750000","5879740720326","169650000","코스피 200","348.30","1.98","-0.57"
"2020/11/24","35000","190","0.55","35069.56","34935","35210","34820","11447244","401242312650","6074250000000","5949550219401","173550000","코스피 200","350.28","1.82","0.52"
"2020/11/23","34810","780","2.29","34886.76","34150","34850","34055","8953641","310676271835","6133522000000","6054597183586","176200000","코스피 200","348.46","7.84","2.30"
"2020/11/20","34030","35","0.10","34102.89","33925","34140","33845","7302254","248288757065","5934832000000","6008928503029","174400000","코스피 200","340.62","0.46","0.14"
"2020/11/19","33995","45","0.13","34058.30","33815","34005","33725","7315739","247757246160","5947425250000","5939766915130","174950000","코스피 200","340.16","0.20","0.06"
"2020/11/18","33950","35","-0.10","34037.79","34000","34145","33875","7760885","263815002755","5931065000000","5954911504857","174700000","코스피 200","339.96","0.11","0.03"
"2020/11/17","33985","10","-0.03","34027.58","34080","34205","33895","11098016","377896800925","5904893750000","5944618964982","173750000","코스피 200","339.85","0.78","-0.23"
"2020/11/16","33995","710","2.13","34105.64","33505","34085","33420","9500098","322258562670","5969522000000","5925854225196","175600000","코스피 200","340.63","7.60","2.28"
